"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TOML", "comment", "blank", "total"
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/MockDiceRoller.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 3, 46
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/diceModifications/applyDiceModifications.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 5, 42
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/diceRoller.test.ts", "TypeScript", 241, 0, 0, 0, 0, 0, 25, 266
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/diceRoller.ts", "TypeScript", 254, 0, 0, 0, 0, 0, 19, 273
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/diceRoller.types.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/rollExpression.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 27, 133
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/utils/getAllDiceFromResolvedExpression.test.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 3, 35
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/DiceRoller/utils/getAllDiceFromResolvedExpression.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 4, 60
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/Helpers/calculateAverage.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 9, 39
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/dice.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/expressionAnalysis/dice/diceExpressionAnalysis.ts", "TypeScript", 100, 0, 0, 0, 0, 1, 11, 112
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/expressionAnalysis/expressionAnalysis.test.ts", "TypeScript", 436, 0, 0, 0, 0, 0, 6, 442
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/expressionAnalysis/expressionAnalysis.ts", "TypeScript", 230, 0, 0, 0, 0, 0, 26, 256
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/expressionAnalysis/parentheses/parenthesesExpressionAnalysis.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 3, 10
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/rolls/expressionAnalysis/utils/expressionAnalysisUtils.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 6, 46
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/weapons/weapon.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 6, 61
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/weapons/weaponEnhancements.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/domain/weapons/weaponTypes.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/buffs/buildBuff.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 3, 32
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/buffs/exampleBuffs.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/changes/changeBuilder.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 6, 79
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/character/buildCharacter.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 2, 124
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/character/defaultCharacter.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 2, 47
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/character/exampleData/Eloise.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 7, 186
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/character/exampleData/fighter.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 4, 119
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/character/exampleData/items/abilityBoostItems.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 6, 83
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/character/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/items/buildArmor.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 3, 48
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/items/buildItem.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 3, 28
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/items/buildShield.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 4, 48
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/tests/workspace.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 8
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/utils/jsons/ave.json", "JSON", 0, 0, 57, 0, 0, 0, 1, 58
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/utils/jsons/prod.json", "JSON", 0, 0, 59, 0, 0, 0, 1, 60
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/utils/logic/mapObject.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 6, 30
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/utils/pruebas.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 3
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/utils/random.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/core/utils/stringifyValues/damageResultToString.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 3, 26
